Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_gps
01006;AMBLEON;01300;;AMBLEON;45.7494989044,5.59432017366
01007;AMBRONAY;01500;;AMBRONAY;46.0055913782,5.35760660735
01014;ARBENT;01100;;ARBENT;46.2834936005,5.69061651221
01015;ARBOYS EN BUGEY;01300;ARBIGNIEU;ARBOYS EN BUGEY;45.7237621545,5.65263086429
01016;ARBIGNY;01190;;ARBIGNY;46.4776762988,4.9599416863
